domain,email_user,status,message,raw_response
karyamu.my.id,adi.firmansyah9660,SUCCESS,Email berhasil dibuat,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""adi.firmansyah9660+karyamu.my.id"",""warnings"":null}"
karyamu.my.id,adi.nasution345,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""adi.nasution345+karyamu.my.id"",""errors"":null}"
karyamu.my.id,adi.pranata8914,SUCCESS,Email berhasil dibuat,"{""data"":""adi.pranata8914+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,adi.prasetyo9609,SUCCESS,Email berhasil dibuat,"{""errors"":null,""data"":""adi.prasetyo9609+karyamu.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
karyamu.my.id,adi.pratama8358,SUCCESS,Email berhasil dibuat,"{""errors"":null,""data"":""adi.pratama8358+karyamu.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
karyamu.my.id,adi.siregar2728,SUCCESS,Email berhasil dibuat,"{""data"":""adi.siregar2728+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,adi.suryani5978,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""adi.suryani5978+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,adi.wibowo9886,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""adi.wibowo9886+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,adi.yulianti5519,SUCCESS,Email berhasil dibuat,"{""errors"":null,""data"":""adi.yulianti5519+karyamu.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
karyamu.my.id,agus.anggraini4967,SUCCESS,Email berhasil dibuat,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""agus.anggraini4967+karyamu.my.id"",""warnings"":null}"
karyamu.my.id,agus.anggraini9729,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""agus.anggraini9729+karyamu.my.id""}"
karyamu.my.id,agus.handayani7106,SUCCESS,Email berhasil dibuat,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""agus.handayani7106+karyamu.my.id"",""errors"":null,""warnings"":null}"
karyamu.my.id,agus.harahap4574,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""agus.harahap4574+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,agus.iskandar2067,SUCCESS,Email berhasil dibuat,"{""data"":""agus.iskandar2067+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,agus.kusuma2379,SUCCESS,Email berhasil dibuat,"{""status"":1,""messages"":[""""],""metadata"":{},""data"":""agus.kusuma2379+karyamu.my.id"",""errors"":null,""warnings"":null}"
karyamu.my.id,agus.lubis3742,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""status"":1,""messages"":[""""],""warnings"":null,""data"":""agus.lubis3742+karyamu.my.id"",""errors"":null}"
karyamu.my.id,agus.lubis6830,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""agus.lubis6830+karyamu.my.id""}"
karyamu.my.id,agus.panjaitan2187,SUCCESS,Email berhasil dibuat,"{""metadata"":{},""messages"":[""""],""status"":1,""warnings"":null,""errors"":null,""data"":""agus.panjaitan2187+karyamu.my.id""}"
karyamu.my.id,agus.panjaitan8264,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""agus.panjaitan8264+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,agus.permana9470,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""agus.permana9470+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,agus.permana9812,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""agus.permana9812+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,agus.purnomo2952,SUCCESS,Email berhasil dibuat,"{""data"":""agus.purnomo2952+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,agus.saputra6867,SUCCESS,Email berhasil dibuat,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""agus.saputra6867+karyamu.my.id"",""warnings"":null}"
karyamu.my.id,agus.situmorang9398,SUCCESS,Email berhasil dibuat,"{""data"":""agus.situmorang9398+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,agus.utami7045,SUCCESS,Email berhasil dibuat,"{""data"":""agus.utami7045+karyamu.my.id"",""errors"":null,""warnings"":null,""status"":1,""messages"":[""""],""metadata"":{}}"
karyamu.my.id,agus.wibowo4076,SUCCESS,Email berhasil dibuat,"{""messages"":[""""],""status"":1,""metadata"":{},""errors"":null,""data"":""agus.wibowo4076+karyamu.my.id"",""warnings"":null}"
karyamu.my.id,agus.wicaksono5135,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""data"":""agus.wicaksono5135+karyamu.my.id"",""errors"":null,""metadata"":{},""status"":1,""messages"":[""""]}"
karyamu.my.id,aldi.anggraini5707,SUCCESS,Email berhasil dibuat,"{""warnings"":null,""errors"":null,""data"":""aldi.anggraini5707+karyamu.my.id"",""metadata"":{},""messages"":[""""],""status"":1}"
karyamu.my.id,aldi.iskandar2227,SUCCESS,Email berhasil dibuat,"{""errors"":null,""data"":""aldi.iskandar2227+karyamu.my.id"",""warnings"":null,""messages"":[""""],""status"":1,""metadata"":{}}"
