
cPanel Email Automation (single account)
Server target : mutis.iixcp.rumahweb.net:2083
cPanel account: shrg9455
Email domain  : shrine.my.id
CSV file(s)   : accounts_20.csv, accounts_21.csv, accounts_22.csv, accounts_23.csv, accounts_24.csv
Total username: 5000
Mode          : LIVE EXECUTION

[1/5000] ✅ OK    agusal3.spv@shrine.my.id
[2/5000] ✅ OK    agusbs9.spv@shrine.my.id
[3/5000] ✅ OK    aguscz4.spv@shrine.my.id
[4/5000] ✅ OK    agusdw3.spv@shrine.my.id
[5/5000] ✅ OK    agusjz5.spv@shrine.my.id
[6/5000] ✅ OK    aguskh7.spv@shrine.my.id
[7/5000] ✅ OK    agusne8.spv@shrine.my.id
[8/5000] ✅ OK    agusng7.spv@shrine.my.id
[9/5000] ✅ OK    agusnq6.spv@shrine.my.id
[10/5000] ✅ OK    aguspv7.spv@shrine.my.id
[11/5000] ✅ OK    agusts2.spv@shrine.my.id
[12/5000] ✅ OK    agusvg7.spv@shrine.my.id
[13/5000] ✅ OK    agusyx9.spv@shrine.my.id
[14/5000] ✅ OK    aldiac3.spv@shrine.my.id
[15/5000] ✅ OK    aldiai9.spv@shrine.my.id
[16/5000] ✅ OK    aldiao7.spv@shrine.my.id
[17/5000] ✅ OK    aldicc3.spv@shrine.my.id
[18/5000] ✅ OK    aldicl1.spv@shrine.my.id
[19/5000] ✅ OK    aldign7.spv@shrine.my.id
[20/5000] ✅ OK    aldihp4.spv@shrine.my.id
[21/5000] ✅ OK    aldiiq1.spv@shrine.my.id
[22/5000] ✅ OK    aldijc2.spv@shrine.my.id
[23/5000] ✅ OK    aldijt2.spv@shrine.my.id
[24/5000] ✅ OK    aldijz5.spv@shrine.my.id
[25/5000] ✅ OK    aldikw1.spv@shrine.my.id
[26/5000] ✅ OK    aldimt4.spv@shrine.my.id
[27/5000] ✅ OK    aldiog2.spv@shrine.my.id
[28/5000] ✅ OK    aldipc2.spv@shrine.my.id
[29/5000] ✅ OK    aldiqn5.spv@shrine.my.id
[30/5000] ✅ OK    aldiqx5.spv@shrine.my.id
[31/5000] ✅ OK    aldiqx9.spv@shrine.my.id
[32/5000] ✅ OK    alditv5.spv@shrine.my.id
[33/5000] ✅ OK    aldiun7.spv@shrine.my.id
[34/5000] ✅ OK    aldixf9.spv@shrine.my.id
[35/5000] ✅ OK    aldixm7.spv@shrine.my.id
[36/5000] ✅ OK    aldixt5.spv@shrine.my.id
[37/5000] ✅ OK    andicj2.spv@shrine.my.id
[38/5000] ✅ OK    andidf8.spv@shrine.my.id
[39/5000] ✅ OK    andifd9.spv@shrine.my.id
[40/5000] ✅ OK    andife4.spv@shrine.my.id
[41/5000] ✅ OK    andifw2.spv@shrine.my.id
[42/5000] ✅ OK    andigd5.spv@shrine.my.id
[43/5000] ✅ OK    andigg4.spv@shrine.my.id
[44/5000] ✅ OK    andihr8.spv@shrine.my.id
[45/5000] ✅ OK    andiio6.spv@shrine.my.id
[46/5000] ✅ OK    andijv3.spv@shrine.my.id
[47/5000] ✅ OK    andikq6.spv@shrine.my.id
[48/5000] ✅ OK    andimh4.spv@shrine.my.id
[49/5000] ✅ OK    andimu9.spv@shrine.my.id
[50/5000] ✅ OK    anditf7.spv@shrine.my.id
[51/5000] ✅ OK    anditoau8.spv@shrine.my.id
[52/5000] ✅ OK    anditobn3.spv@shrine.my.id
